,symbol,company_name,score,buy,hold,sell,price_target,current,upside
0,AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",n/a,n/a,n/a,n/a,n/a,n/a,n/a
1,AACQU,Artius Acquisition Inc. - Unit consisting of one ordinary share and one third redeemable warrant,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2,AAL,"American Airlines Group, Inc. - Common Stock",2.2,5,8,2,22.23,16.8,0.32299999999999995
3,AAME,Atlantic American Corporation - Common Stock,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4,AAOI,"Applied Optoelectronics, Inc. - Common Stock",2.25,1,3,no,10.67,5.7,0.871
5,AAON,"AAON, Inc. - Common Stock",2.0,no,2,no,70.0,78.55,-0.109
6,AAPL,Apple Inc. - Common Stock,2.77,22,6,1,165.89,169.07,-0.019
7,AAWW,Atlas Air Worldwide Holdings - Common Stock,2.8,4,1,no,90.0,85.45,0.053
8,AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,n/a,n/a,n/a,n/a,n/a,n/a,n/a
9,ABCB,Ameris Bancorp - Common Stock,2.33,1,2,no,57.67,49.5,0.165
10,ABEO,Abeona Therapeutics Inc. - Common Stock,2.67,2,1,no,2.5,0.62,3.015
11,ABIO,"ARCA biopharma, Inc. - Common Stock",n/a,n/a,n/a,n/a,n/a,n/a,n/a
12,ABMD,"ABIOMED, Inc. - Common Stock",2.25,2,1,1,363.75,313.69,0.16
13,ABTX,"Allegiance Bancshares, Inc. - Common Stock",n/a,n/a,n/a,n/a,n/a,n/a,n/a
14,ABUS,Arbutus Biopharma Corporation - Common Stock,2.8,4,1,no,7.25,5.02,0.444
15,ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,2.33,6,12,no,27.39,19.15,0.43100000000000005
16,ACAM,Acamar Partners Acquisition Corp. - Class A Common Stock,n/a,n/a,n/a,n/a,n/a,n/a,n/a
17,ACAMU,Acamar Partners Acquisition Corp. - Units,n/a,n/a,n/a,n/a,n/a,n/a,n/a
18,ACAMW,Acamar Partners Acquisition Corp. - Warrant,n/a,n/a,n/a,n/a,n/a,n/a,n/a
19,ACBI,"Atlantic Capital Bancshares, Inc. - Common Stock",2.67,4,2,no,25.85,27.48,-0.059000000000000004
20,ACCD,"Accolade, Inc. - common stock",3.0,11,no,no,56.2,25.36,1.216
21,ACER,Acer Therapeutics Inc. - Common Stock,n/a,n/a,n/a,n/a,n/a,n/a,n/a
22,ACEVU,ACE Convergence Acquisition Corp. - Unit,n/a,n/a,n/a,n/a,n/a,n/a,n/a
23,ACGL,Arch Capital Group Ltd. - Common Stock,2.67,6,3,no,46.11,41.17,0.12
24,ACGLO,"Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1,000th Interest in a Share of5.45% Non-Cumulative Preferred Shares, Series F",n/a,n/a,n/a,n/a,n/a,n/a,n/a
25,ACGLP,Arch Capital Group Ltd. - Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs,n/a,n/a,n/a,n/a,n/a,n/a,n/a
26,ACHC,"Acadia Healthcare Company, Inc. - Common Stock",2.54,6,5,1,71.38,56.19,0.27
27,ACHV,"Achieve Life Sciences, Inc.  - Common Shares",3.0,4,no,no,23.25,6.99,2.326
28,ACIA,"Acacia Communications, Inc. - Common Stock",2.25,1,3,no,106.67,114.99,-0.07200000000000001
29,ACIU,AC Immune SA - Common Stock,3.0,2,no,no,16.5,4.99,2.307
30,ACIW,"ACI Worldwide, Inc. - Common Stock",3.0,4,no,no,45.67,28.85,0.583
31,ACLS,"Axcelis Technologies, Inc. - Common Stock",3.0,4,no,no,58.4,64.13,-0.08900000000000001
32,ACMR,"ACM Research, Inc. - Class A Common Stock",3.0,3,no,no,132.5,84.94,0.56
33,ACNB,ACNB Corporation - Common Stock,n/a,n/a,n/a,n/a,n/a,n/a,n/a
34,ACOR,"Acorda Therapeutics, Inc. - Common Stock",3.0,1,no,no,22.5,2.63,7.555
35,ACRS,"Aclaris Therapeutics, Inc. - Common Stock",3.0,4,no,no,35.67,12.65,1.8190000000000002
36,ACRX,"AcelRx Pharmaceuticals, Inc. - Common Stock",3.0,1,no,no,5.0,0.65,6.723
37,ACST,"Acasti Pharma, Inc. - Class A Common Stock",n/a,n/a,n/a,n/a,n/a,n/a,n/a
38,ACT,AdvisorShares Vice ETF,n/a,n/a,n/a,n/a,n/a,n/a,n/a
39,ACTG,Acacia Research Corporation - Common Stock,n/a,n/a,n/a,n/a,n/a,n/a,n/a
40,ACWI,iShares MSCI ACWI Index Fund,n/a,n/a,n/a,n/a,n/a,n/a,n/a
41,ACWX,iShares MSCI ACWI ex US Index Fund,n/a,n/a,n/a,n/a,n/a,n/a,n/a
42,ADAP,Adaptimmune Therapeutics plc - American Depositary Shares,2.0,1,3,1,8.4,3.75,1.24
43,ADBE,Adobe Inc. - Common Stock,2.85,22,4,no,698.75,669.33,0.044000000000000004
44,ADES,"Advanced Emissions Solutions, Inc. - Common Stock",n/a,n/a,n/a,n/a,n/a,n/a,n/a
45,ADI,"Analog Devices, Inc. - Common Stock",2.88,21,3,no,198.35,187.22,0.059000000000000004
46,ADIL,"Adial Pharmaceuticals, Inc - Common Stock",3.0,4,no,no,11.0,2.8,2.929
47,ADILW,"Adial Pharmaceuticals, Inc - Warrant",n/a,n/a,n/a,n/a,n/a,n/a,n/a
48,ADMA,ADMA Biologics Inc - Common Stock,3.2,4,no,no,5.7,1.35,3.222
49,ADMP,Adamis Pharmaceuticals Corporation - Common Stock,n/a,n/a,n/a,n/a,n/a,n/a,n/a
50,ADMS,"Adamas Pharmaceuticals, Inc. - Common Stock",2.0,no,7,no,7.9,8.22,-0.039
